ID,X,Y,c,n1,n2,u1,u2,inUse,Joint,midJoint
189,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
190,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
191,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
192,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
193,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
194,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
195,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
196,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
197,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
198,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
199,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
200,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
201,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
202,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
203,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
204,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
205,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
206,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
207,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
208,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
209,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
210,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
211,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
212,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
213,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
214,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
215,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
216,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
217,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
218,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
219,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
220,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
221,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
222,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
223,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
224,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
225,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
226,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
227,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
228,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
229,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
230,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
231,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
232,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
233,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
234,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
235,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
236,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
237,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
238,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
239,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
240,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
241,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
242,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
243,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
244,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
245,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
246,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
247,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
248,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
249,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
250,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
251,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
252,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
253,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
254,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
255,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
256,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
257,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
258,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
259,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
260,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
261,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
262,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
263,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
264,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
265,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
266,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
267,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
268,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
269,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
270,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
271,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
272,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
273,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
274,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
275,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
276,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
277,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
278,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
279,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
280,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
281,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
282,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
283,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
284,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
285,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
286,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
287,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
288,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
289,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
290,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
291,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
292,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
293,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
294,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
295,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
296,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
297,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
298,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
299,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
300,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
301,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
302,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
303,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
304,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
305,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
306,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
307,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
308,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
309,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
310,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
311,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
312,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
313,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
314,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
315,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
316,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
317,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
318,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
319,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
320,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
321,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
322,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
323,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
324,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
325,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
326,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
327,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
328,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
329,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
330,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
331,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
332,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
333,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
334,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
335,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
336,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
337,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
338,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
339,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
340,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
341,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
342,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
343,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
344,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
345,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
346,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
347,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
348,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
349,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
350,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
351,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
352,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
353,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
354,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
355,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
356,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
357,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
358,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
359,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
360,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
361,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
362,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
363,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
